"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Program ID,Program Name,Category,Administrator,Eligible Counties,Eligible ZIP Codes,Application Status,Application Window,AMI Min %,AMI Max %,Income Standard,Household Size Used?,Household Composition Rule,Asset Limit,Eligible Tenure,Primary Residence Required,Utility Account Required,Rent/Mortgage Arrears Required,Property Type Rule,First-Time Homebuyer Required,Employment / Occupation Rule,Age Rule,Disability Rule,Veteran Rule,Children / Pregnancy Rule,Credit Score Min,DTI Max %,Home Price / Rent Cap,Citizenship / Immigration Rule,Crisis / Displacement Required,Other Hard Disqualifiers,Benefit Type,Maximum Benefit,Benefit Frequency,Priority Factors,Required Documents,Application Method,Source URL,Last Verified,Verification Status,Internal Notes,Phone,Email,Address,Online schedule link,Intake Hours,Service Area Detail,Eligibility Summary,Availability / Waitlist Notes,Primary Source Type,Secondary Source URL,Research Confidence,Partner Listing Count,Partner Listing IDs,Data Gaps / Follow-Up,Research Date,Application Form URL,Form Notes,Reverification Notes
UW211-23,United Way 211 Referral Line,Referral and navigation (not a funding program),United Way / Minnesota 211,"Statewide - Stearns, Benton, Sherburne and all others",Statewide,Open - 24/7,Year-round,N/A,N/A - no income test,None - open to all callers,No,None,None,Renter or Homeowner,No,No,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,None,No,,"Referral to local utility assistance, crisis funds and emergency services",N/A - no funds provided,Unlimited,None,None,"Dial 211, or text/chat via the 211 website",https://www.211unitedway.org/,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: COMPLETE (6/6),Include as the fallback row when every funded program in this matrix is closed or exhausted.,211 (or 1-800-543-7709),,,,24/7,Statewide referral database including all programs in this matrix,"Free, no-eligibility-test referral line. Useful first stop and off-season backstop.",Always available.,Administrator website,https://www.mnpower.com/customerservice/coldweatherrule,High,0,,None material.,2026-08-10,,,Low priority.
LIHWAP-24,Low Income Household Water Assistance Program (LIHWAP),Water/wastewater bill assistance - DISCONTINUED,Formerly MN Dept. of Commerce (federal HHS/ACF funded),Formerly statewide,N/A,TERMINATED - no new applications accepted; program concluded 2024,"CLOSED PERMANENTLY (federal funds obligated by 2024-03-31, liquidated by 2024-06-30)",N/A,N/A,Formerly the greater of 150% FPL or 60% SMI,Yes,N/A,None,Renter or Homeowner,Yes,Formerly yes,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,,Formerly one-time payment toward water and wastewater arrears,"Formerly up to $2,000",N/A,N/A,N/A,N/A - no longer available,https://lowincomerelief.com/lihwap-low-income-household-water-assistance-program/,2026-08-10,Verified - confirmed discontinued  ||  INTAKE KNOWLEDGE: N/A (-/6),"Included deliberately as a NEGATIVE result so the row is not re-researched. For water/sewer arrears, route to county EGA/EA, which explicitly covers water service payment assistance.",,,,,,N/A,DO NOT REFER. This COVID-era federal water bill program has ended. Outdated state and agency webpages still describe it as active.,No successor federal water program is in place as of 2026-08-10.,Administrator website,https://www.rivernetwork.org/low-income-household-water-assistance-program-sunset-or-sunrise/,High,0,,Monitor for successor legislation (LIWCAP proposals were circulating in 2026).,2026-08-10,,,Recheck annually for a federal successor program.
ECE-CARING-25,Caring Members (East Central Energy),Utility crisis fund - co-op member funded,East Central Energy; funds administered locally by Tri-CAP,"ECE service territory - includes Benton, Sherburne, Morrison, Mille Lacs, Isanti, Kanabec, Chisago, Pine, Aitkin, Carlton, Washington",ECE territory - eastern Benton and Sherburne counties; verify by address,Open - year-round while funds last,Year-round,N/A,"N/A (uses State Median Income, not AMI)",Screened through Tri-CAP's energy assistance criteria,Yes,Household as billed,None,Renter or Homeowner,Yes,YES - must be an East Central Energy member,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,Yes - facing potential disconnection,Non-members are ineligible. This is a members-helping-members fund.,Emergency grant applied to the member's ECE electric account,"Varies - ECE allocated $45,000 across its three administering agencies in a recent year, split evenly (approx. $15,000 to Tri-CAP)",As needed while funds last,Imminent disconnection,Screened via Tri-CAP energy assistance intake,Apply through Tri-CAP; ECE members can call the co-op at 1-800-254-7944,https://eastcentralenergy.com/caring-members,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: PARTIAL (3/6),IMPORTANT DISTINCTION: Caring Members goes to HOUSEHOLDS; Operation Round Up (both ECE and Stearns Electric) goes to NONPROFITS. Do not confuse them.,1-800-254-7944 (ECE) / (320) 251-1612 (Tri-CAP),,"412 Main Ave N, Braham, MN 55006",,Mon-Fri business hours,"Member donations are MATCHED by the cooperative, then distributed through Tri-CAP, Lakes & Pines and WHEAP depending on the member's location",Small member-funded crisis pot for ECE electric members facing disconnection. Distinct from Operation Round Up.,Modest annual pot - assume it runs out. Ask Tri-CAP whether Caring Members funds remain when EAP crisis is closed.,Administrator website,https://www.lakesandpines.org/energy-assistance,Medium-High,0,,"Confirm per-household maximum and whether Tri-CAP screens these separately from EAP crisis.  ||  NEXT ACTION - call Tri-CAP: 1. What is the maximum Energy Related Repair benefit this year, and does it cover full furnace replacement?  2. When a household calls with no heat, what is your actual turnaround â€” same day, 48 hours, longer?  3. Is Reach Out For Warmth still funded and taking applications? If yes, what is the income ceiling and typical grant?  4. For East Central Energy Caring Members, do you screen separately from EAP, and is there a per-household cap?  5. When will the FFY27 application be available, and will you mail it on request?  6. After an application is submitted, how long until a decision, and how is the household told?  7. If someone is denied, what is the appeal route?",2026-08-10,,,Reverify at heating season open.
GAP-OTHER-26,"Gas Affordability Program - non-Xcel gas utilities (CenterPoint, MERC, Greater MN Gas)",Utility bill discount - natural gas,"Each investor-owned gas utility, via Energy CENTS Coalition or Salvation Army",Wherever the relevant gas utility serves; Greater MN Gas serves rural Stearns and Morrison,Determined by gas utility territory - verify by address,Open - enrollment tied to EAP award,Year-round; requires current-season EAP award,N/A,"N/A (uses State Median Income, not AMI)",Must be an approved EAP (LIHEAP) recipient for the current heating season; EAP eligibility is at or below 50% of State Median Income,Yes,Household as billed,None,Renter or Homeowner,Yes,Yes - active residential natural gas account with a participating utility,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,Applies only to INVESTOR-OWNED gas utilities. Municipal gas utilities (e.g. City of Albany) are NOT required to offer GAP.,Monthly gas bill discount plus arrears forgiveness credits,Statute caps participant gas payments at no more than 6% of household income,Monthly while enrolled,"First-come, first-served within each utility's budget",EAP award letter; gas account number; income verification,Contact your gas utility or Energy CENTS Coalition after EAP approval,https://liheapch.acf.gov/profiles/Minn.htm,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: PARTIAL (3.5/6),Added so households on non-Xcel gas are not missed. Which utility serves an address must be checked address-by-address in this region - territories interleave.,CenterPoint 1-800-245-2377 | MERC 1-800-889-9508 | Greater MN Gas 1-888-931-3411 | Energy CENTS (651) 774-9010,,,,Mon-Fri business hours,2007 Minnesota legislation requires ALL investor-owned natural gas utilities to offer a Gas Affordability Program,"Same benefit as the Xcel GAP, routed through whichever investor-owned gas utility serves the address.",Budget-capped per utility.,Administrator website,https://cubminnesota.org/utility-affordability-programs,Medium,0,,PRIORITY: build an address-to-gas-utility lookup for the service area. Confirm whether MERC serves any greater St. Cloud communities.,2026-08-10,,,Reverify annually.
SSAP-SUB-27,State Soldiers Assistance Program (SSAP) - Subsistence / Financial Assistance,Utility bill payment - veterans,Minnesota Dept. of Veterans Affairs; applications through County Veterans Service Officers,Statewide MN - apply through the CVSO in your county of residence,Statewide,Open - year-round. NOTE: renewal requires an updated MDVA-4 if the original does not cover the later period.,Year-round,N/A,"N/A (uses State Median Income, not AMI)",Income AND asset tested against MDVA's schedule of allowances,Yes,Veteran plus dependents,YES - assets are counted (unlike EAP),Renter or Homeowner,Yes,Yes for utility payments,No,Any residential dwelling,No,None,None,"REQUIRED - a qualifying medical disability preventing work at the usual occupation for at least 30 days, verified by a physician (form MDVA-4). Surviving spouses may qualify without a disability within one year of the veteran's death.","REQUIRED - veteran, surviving spouse, or dependent of a veteran; must reside in Minnesota",None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,Cannot supplement General Assistance or MFIP (MN Rule 9055.0350). Must be a Minnesota resident for at least 30 DAYS before applying. A STREET ADDRESS is required - Minnesota Management and Budget will not mail warrants to a PO Box or c/o address. THE CVSO MUST RECOMMEND the assistance for any MDVA program to be approved.,"Temporary payment toward shelter, utilities (electric, gas, propane, water, sewer, phone, internet), health insurance premiums and personal needs",Per MDVA schedule of allowances - varies by household,Temporary and renewable while the medical disability continues and is re-verified,Demonstrated financial and medical need,MDVA-1 Application for Financial Assistance (7 pages); MDVA-4 Medical Report Form completed by a licensed healthcare provider; proof of service; valid MN driver's licence or ID; SSN and birth certificate for anyone applying; gross income from ALL sources for the whole household.,Apply through your County Veterans Service Officer,https://mn.gov/mdva/resources/familyassistance/financialassistance.jsp,2026-08-10,Verified - state agency + administrative rule  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),"Notably broader utility coverage than any other program here: it can pay WATER, SEWER, PHONE and INTERNET, which EAP cannot. Screen every client for veteran status.",Stearns CVSO (320) 656-6176 | Benton CVSO (320) 968-5044 | Sherburne CVSO (763) 765-3100 | LinkVet 1-888-546-5838,VeteransServices.MDVA@state.mn.us,"Stearns: 3301 County Rd 138, Waite Park, MN 56387 | Benton: PO Box 129, Foley, MN 56329 | Sherburne: 13880 Business Center Dr NW, Elk River, MN 55330",,"Mon-Fri, 8:00am-4:30pm; appointment recommended","All three greater St. Cloud counties have a staffed, nationally accredited CVSO. Stearns County runs a second office in Melrose (320) 256-2435.","Directly pays utility bills for disabled veterans and surviving spouses. The medical-disability requirement is the main gate, not income alone.",State-funded and year-round - valuable in the EAP off-season.,Administrator website,https://www.revisor.mn.gov/rules/9055.0020/,High,0,,"Still need MDVA's current schedule of allowances (benefit amounts) and confirmation of the current MDVA-1 revision.  ||  NEXT ACTION - call County Veterans Service Officers â€” Stearns (320) 656-6176, Benton (320) 968-5044, Sherburne (763) 765-3100: 1. Can I have the current MDVA schedule of allowances?  2. Which revision of MDVA-1 is current, and can you send it plus MDVA-4?  3. What is the typical Veterans Relief Grant amount, and is there a cap?  4. How long does subsistence approval take once you recommend it?  5. Roughly how many local veterans use subsistence for utilities â€” is this underused?",2026-08-10,MDVA-1 and MDVA-4 - obtain the current versions from your CVSO. MDVA portal: https://vats.mdva.mn.gov/Login,"Forms are not cleanly published on the MDVA site; county VSO offices host copies of MDVA-1 (rev. 07/2010, 7 pages). Always confirm you have the current revision before use. If the CVSO cannot help, email FO.MDVA@state.mn.us.",Reverify annually.
VRG-28,Veterans Relief Grant (MDVA),Utility crisis fund - veterans,Minnesota Dept. of Veterans Affairs; applications through County Veterans Service Officers,Statewide MN,Statewide,Open - year-round,Year-round,N/A,"N/A (uses State Median Income, not AMI)","Demonstrated financial need, case-by-case",Yes,Veteran or surviving spouse,Considered as part of financial need review,Renter or Homeowner,Yes,,No,Any residential dwelling,No,None,None,None,REQUIRED - veteran or surviving spouse,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,Yes - period of financial hardship,ONCE PER LIFETIME. Applicant must also demonstrate future financial sustainability - i.e. the grant must actually stabilise the situation.,One-time stabilising grant; can be applied to utility arrears among other costs,Case-by-case - confirm current cap with CVSO,Once per lifetime,Severity of hardship and likelihood of stabilisation,Proof of service; financial documentation; evidence of hardship and a forward plan,Apply through your County Veterans Service Officer,https://mn.gov/mdva/resources/familyassistance,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: PARTIAL (3/6),"Use SSAP Subsistence first if the client has a qualifying disability - it is renewable. Save the Relief Grant, since it can only be used once.",Stearns (320) 656-6176 | Benton (320) 968-5044 | Sherburne (763) 765-3100 | LinkVet 1-888-546-5838,,,,Mon-Fri business hours,Statewide MDVA program delivered locally through CVSOs,"One-shot lifetime grant for veterans in financial hardship. No disability requirement, unlike SSAP Subsistence.",Discretionary and case-by-case.,Administrator website,https://www.linkvet.org/s/article/MDVA-Financial-educational-resources,Medium-High,0,,"Confirm current maximum grant amount with a CVSO.  ||  NEXT ACTION - call County Veterans Service Officers â€” Stearns (320) 656-6176, Benton (320) 968-5044, Sherburne (763) 765-3100: 1. Can I have the current MDVA schedule of allowances?  2. Which revision of MDVA-1 is current, and can you send it plus MDVA-4?  3. What is the typical Veterans Relief Grant amount, and is there a cap?  4. How long does subsistence approval take once you recommend it?  5. Roughly how many local veterans use subsistence for utilities â€” is this underused?",2026-08-10,,,Reverify annually.
LSS-FIN-29,LSS Financial Counseling & Community Resource Navigation,Navigation and counselling (NOT a funding program),Lutheran Social Service of Minnesota,"Statewide MN incl. Stearns, Benton, Sherburne",Statewide,Open - year-round,Year-round,N/A,N/A - no income test,None - free to all,No,None,None,Renter or Homeowner,No,No,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,None,No,,"Free financial counselling, debt and budget help, and a curated St. Cloud area community resource directory",N/A - no funds provided,Unlimited,None,None to start,Online form or phone,https://www.lssmn.org/services/housing-assistance/assistance-and-eviction-prevention/st.cloud-area-community-resources,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5.5/6),Good referral for repeat crisis clients - addresses the underlying budget problem rather than the current bill.,1-888-577-2227,,,,Mon-Fri business hours,"Maintains a St. Cloud area resource list covering utility, food and housing help","No money, but free help for households whose utility arrears are part of a wider debt problem.",Always available; counselling appointments may have a short wait.,Administrator website,https://mn.gov/adresources/search/860be51e-2314-51b4-bed4-6498cde3c0f5,Medium,0,,Confirm whether LSS holds any local emergency funds for the St. Cloud area.,2026-08-10,,,Low priority.
FHPAP-RISE-30,Family Homeless Prevention & Assistance Program (FHPAP) - Rise Inc.,Utility bill payment + housing stabilisation (homelessness prevention),"Rise, Inc.","Stearns, Benton, Sherburne, Wright",Determined by county of residence - see Eligible Counties,OPEN - grant term runs 10/1/2025 to 9/30/2027,Year-round while funds last,N/A,"N/A (uses Federal Poverty Guidelines, not AMI)","At or below 200% of the Federal Poverty Guidelines, AND experiencing a housing crisis",Yes,"Families with or without children, unaccompanied youth, and single adults",Not a stated hard limit - VERIFY,Renter (primarily); some homeowner assistance,Yes,Yes for utility payments,No,Any residential dwelling,No,None,None,None,None,"None - serves families with or without children, unaccompanied youth and single adults",N/A,N/A,N/A,"Minnesota resident, or household otherwise approved by Minnesota Housing",YES - homeless or at imminent risk of homelessness,"Grant term 10/1/2025 - 9/30/2027, so funding is live now. Funds are limited and may not be available for all households. Households are assessed by the provider to determine eligibility and level of assistance.","Supportive services plus direct financial assistance: rent deposits, rent payments, and UTILITY PAYMENTS",Assessed case by case; no published cap,"Case by case, based on the stabilisation plan",Imminence of homelessness; likelihood the assistance stabilises housing,Proof of income; documentation of housing instability; proof of the arrears to be paid. Self-attestation is permitted as a LAST RESORT where documents cannot be obtained.,"Contact the provider directly. If already homeless, call the Central MN Coordinated Entry 'Call to Connect' line at 1-866-560-7464 first.",https://rise.org/program/family-homeless-prevention-and-assistance-program/,2026-08-10,Verified - Minnesota Housing grantee list + provider site  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),Largest county coverage of the four local FHPAP providers - covers all three core counties. Start here.,(320) 313-2175 / (320) 313-2171,ocarlson@rise.org / jhouston@rise.org,"3400 1st Street N, Suite 306, St. Cloud, MN 56303",,Adults - single and family. Mon-Fri 8:00am-4:30pm.,"FHPAP service area: Stearns, Benton, Sherburne, Wright. Funded by Minnesota Housing, not by the utility system.","Pays utility arrears as part of preventing homelessness. Income test is 200% FPG - MUCH higher than EAP's 50% SMI, so households over-income for EAP often qualify here.",Funds limited; not all households can be served. Assessment required.,State funder + administrator website,https://mnhousing.gov/documents/48088/fhpap_contacts_for_client_referral/view,Medium-High,0,,"Need each provider's typical maximum utility payment and current funding status. Confirm whether they coordinate to avoid duplicate awards.  ||  NEXT ACTION - call FHPAP providers â€” Rise (320) 313-2175, LSS (218) 824-1437, Catholic Charities Housing Stability, CAIRO (320) 281-3232: 1. What are your actual intake steps from first contact to funds being paid?  2. What is a typical utility payment, and is there a cap?  3. Do you take direct calls, or must everyone go through Coordinated Entry first?  4. How do the four of you divide the work â€” do you coordinate to avoid duplicate awards?  5. What is your current funding position for this grant term?  6. Is there a direct phone line for the Catholic Charities Housing Stability desk?",2026-08-10,Provider-specific intake; Rise uses an online inquiry form,,Reverify at the grant term midpoint and before 9/30/2027.
FHPAP-LSS-31,FHPAP - Lutheran Social Service of Minnesota,Utility bill payment + housing stabilisation (homelessness prevention),Lutheran Social Service of MN,"Benton, Sherburne",Determined by county of residence - see Eligible Counties,OPEN - grant term runs 10/1/2025 to 9/30/2027,Year-round while funds last,N/A,"N/A (uses Federal Poverty Guidelines, not AMI)","At or below 200% of the Federal Poverty Guidelines, AND experiencing a housing crisis",Yes,"Families with or without children, unaccompanied youth, and single adults",Not a stated hard limit - VERIFY,Renter (primarily); some homeowner assistance,Yes,Yes for utility payments,No,Any residential dwelling,No,None,None,None,None,"None - serves families with or without children, unaccompanied youth and single adults",N/A,N/A,N/A,"Minnesota resident, or household otherwise approved by Minnesota Housing",YES - homeless or at imminent risk of homelessness,"Grant term 10/1/2025 - 9/30/2027, so funding is live now. Funds are limited and may not be available for all households. Households are assessed by the provider to determine eligibility and level of assistance.","Supportive services plus direct financial assistance: rent deposits, rent payments, and UTILITY PAYMENTS",Assessed case by case; no published cap,"Case by case, based on the stabilisation plan",Imminence of homelessness; likelihood the assistance stabilises housing,Proof of income; documentation of housing instability; proof of the arrears to be paid. Self-attestation is permitted as a LAST RESORT where documents cannot be obtained.,"Contact the provider directly. If already homeless, call the Central MN Coordinated Entry 'Call to Connect' line at 1-866-560-7464 first.",https://www.lssmn.org/rentassistance,2026-08-10,Verified - Minnesota Housing grantee list + provider site  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),NOTE: LSS covers Benton and Sherburne but NOT Stearns for FHPAP. Stearns households route to Rise or Catholic Charities.,(218) 824-1437,hope.housing@lssmn.org,"2835 W St. Germain St, Suite 550, St. Cloud, MN 56301",,All populations. Mon-Fri 8:00am-4:30pm.,"FHPAP service area: Benton, Sherburne. Funded by Minnesota Housing, not by the utility system.","Pays utility arrears as part of preventing homelessness. Income test is 200% FPG - MUCH higher than EAP's 50% SMI, so households over-income for EAP often qualify here.",Funds limited; not all households can be served. Assessment required.,State funder + administrator website,https://mnhousing.gov/documents/48088/fhpap_contacts_for_client_referral/view,Medium-High,0,,"Need each provider's typical maximum utility payment and current funding status. Confirm whether they coordinate to avoid duplicate awards.  ||  NEXT ACTION - call FHPAP providers â€” Rise (320) 313-2175, LSS (218) 824-1437, Catholic Charities Housing Stability, CAIRO (320) 281-3232: 1. What are your actual intake steps from first contact to funds being paid?  2. What is a typical utility payment, and is there a cap?  3. Do you take direct calls, or must everyone go through Coordinated Entry first?  4. How do the four of you divide the work â€” do you coordinate to avoid duplicate awards?  5. What is your current funding position for this grant term?  6. Is there a direct phone line for the Catholic Charities Housing Stability desk?",2026-08-10,Provider-specific intake; Rise uses an online inquiry form,,Reverify at the grant term midpoint and before 9/30/2027.
FHPAP-CC-32,FHPAP - Catholic Charities Housing Stability Division,Utility bill payment + housing stabilisation (homelessness prevention),Catholic Charities of the Diocese of St. Cloud,"Stearns, Benton, Sherburne, Wright",Determined by county of residence - see Eligible Counties,OPEN - grant term runs 10/1/2025 to 9/30/2027,Year-round while funds last,N/A,"N/A (uses Federal Poverty Guidelines, not AMI)","At or below 200% of the Federal Poverty Guidelines, AND experiencing a housing crisis",Yes,"Families with or without children, unaccompanied youth, and single adults",Not a stated hard limit - VERIFY,Renter (primarily); some homeowner assistance,Yes,Yes for utility payments,No,Any residential dwelling,No,None,None,None,None,"None - serves families with or without children, unaccompanied youth and single adults",N/A,N/A,N/A,"Minnesota resident, or household otherwise approved by Minnesota Housing",YES - homeless or at imminent risk of homelessness,"Grant term 10/1/2025 - 9/30/2027, so funding is live now. Funds are limited and may not be available for all households. Households are assessed by the provider to determine eligibility and level of assistance.","Supportive services plus direct financial assistance: rent deposits, rent payments, and UTILITY PAYMENTS",Assessed case by case; no published cap,"Case by case, based on the stabilisation plan",Imminence of homelessness; likelihood the assistance stabilises housing,Proof of income; documentation of housing instability; proof of the arrears to be paid. Self-attestation is permitted as a LAST RESORT where documents cannot be obtained.,"Contact the provider directly. If already homeless, call the Central MN Coordinated Entry 'Call to Connect' line at 1-866-560-7464 first.",https://www.ccstcloud.org/,2026-08-10,Verified - Minnesota Housing grantee list + provider site  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (4.5/6),"CRITICAL DISTINCTION: this is a DIFFERENT DESK from Catholic Charities Emergency Services (row CC-EFA-19), which explicitly excludes utilities. This division CAN pay utilities. Ask for Housing Stability, not Emergency Services.",Contact via Catholic Charities housing desk,melanie.legatt@ccstcloud.org,"157 Roosevelt Rd, Suite 200, St. Cloud, MN 56301",,Listed in Minnesota Housing's FY26-27 FHPAP grantee reference as Catholic Charities SHY.,"FHPAP service area: Stearns, Benton, Sherburne, Wright. Funded by Minnesota Housing, not by the utility system.","Pays utility arrears as part of preventing homelessness. Income test is 200% FPG - MUCH higher than EAP's 50% SMI, so households over-income for EAP often qualify here.",Funds limited; not all households can be served. Assessment required.,State funder + administrator website,https://mnhousing.gov/documents/48088/fhpap_contacts_for_client_referral/view,Medium-High,0,,"Need each provider's typical maximum utility payment and current funding status. Confirm whether they coordinate to avoid duplicate awards.  ||  NEXT ACTION - call FHPAP providers â€” Rise (320) 313-2175, LSS (218) 824-1437, Catholic Charities Housing Stability, CAIRO (320) 281-3232: 1. What are your actual intake steps from first contact to funds being paid?  2. What is a typical utility payment, and is there a cap?  3. Do you take direct calls, or must everyone go through Coordinated Entry first?  4. How do the four of you divide the work â€” do you coordinate to avoid duplicate awards?  5. What is your current funding position for this grant term?  6. Is there a direct phone line for the Catholic Charities Housing Stability desk?",2026-08-10,Provider-specific intake; Rise uses an online inquiry form,,Reverify at the grant term midpoint and before 9/30/2027.
FHPAP-CAIRO-33,FHPAP - Center for African Immigrants and Refugee Organization (CAIRO),Utility bill payment + housing stabilisation (homelessness prevention),CAIRO,"Stearns, Sherburne, Benton",Determined by county of residence - see Eligible Counties,OPEN - grant term runs 10/1/2025 to 9/30/2027,Year-round while funds last,N/A,"N/A (uses Federal Poverty Guidelines, not AMI)","At or below 200% of the Federal Poverty Guidelines, AND experiencing a housing crisis",Yes,"Families with or without children, unaccompanied youth, and single adults",Not a stated hard limit - VERIFY,Renter (primarily); some homeowner assistance,Yes,Yes for utility payments,No,Any residential dwelling,No,None,None,None,None,"None - serves families with or without children, unaccompanied youth and single adults",N/A,N/A,N/A,"Minnesota resident, or household otherwise approved by Minnesota Housing",YES - homeless or at imminent risk of homelessness,"Grant term 10/1/2025 - 9/30/2027, so funding is live now. Funds are limited and may not be available for all households. Households are assessed by the provider to determine eligibility and level of assistance.","Supportive services plus direct financial assistance: rent deposits, rent payments, and UTILITY PAYMENTS",Assessed case by case; no published cap,"Case by case, based on the stabilisation plan",Imminence of homelessness; likelihood the assistance stabilises housing,Proof of income; documentation of housing instability; proof of the arrears to be paid. Self-attestation is permitted as a LAST RESORT where documents cannot be obtained.,"Contact the provider directly. If already homeless, call the Central MN Coordinated Entry 'Call to Connect' line at 1-866-560-7464 first.",https://cairomn.org/,2026-08-10,Verified - Minnesota Housing grantee list + provider site  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),Culturally specific provider. Valuable for households facing language or trust barriers at mainstream agencies. Later hours than the others.,(320) 281-3232,abdi@cairomn.org,"3333 W Division St, Suite 114, St. Cloud, MN 56301",,"All populations, with a focus on the African immigrant community. Mon-Fri 9:00am-5:30pm.","FHPAP service area: Stearns, Sherburne, Benton. Funded by Minnesota Housing, not by the utility system.","Pays utility arrears as part of preventing homelessness. Income test is 200% FPG - MUCH higher than EAP's 50% SMI, so households over-income for EAP often qualify here.",Funds limited; not all households can be served. Assessment required.,State funder + administrator website,https://mnhousing.gov/documents/48088/fhpap_contacts_for_client_referral/view,Medium-High,0,,"Need each provider's typical maximum utility payment and current funding status. Confirm whether they coordinate to avoid duplicate awards.  ||  NEXT ACTION - call FHPAP providers â€” Rise (320) 313-2175, LSS (218) 824-1437, Catholic Charities Housing Stability, CAIRO (320) 281-3232: 1. What are your actual intake steps from first contact to funds being paid?  2. What is a typical utility payment, and is there a cap?  3. Do you take direct calls, or must everyone go through Coordinated Entry first?  4. How do the four of you divide the work â€” do you coordinate to avoid duplicate awards?  5. What is your current funding position for this grant term?  6. Is there a direct phone line for the Catholic Charities Housing Stability desk?",2026-08-10,Provider-specific intake; Rise uses an online inquiry form,,Reverify at the grant term midpoint and before 9/30/2027.
CE-CONNECT-34,Central MN Coordinated Entry - 'Call to Connect',System access point (not a funding program),Central Minnesota Continuum of Care; led by Central Minnesota Housing Partnership (CMHP),"Benton, Cass, Chisago, Crow Wing, Isanti, Kanabec, Mille Lacs, Morrison, Pine, Sherburne, Stearns, Todd, Wright (+ City of St. Cloud)",All ZIPs in the 13-county CoC region,Open,Year-round,N/A,N/A - no income test to be assessed,None to be assessed; individual programs it refers to have their own tests,No,All household types,None,Renter (primarily); some homeowner assistance,No,No,No,Any residential dwelling,No,None,None,None,None,"None - serves families with or without children, unaccompanied youth and single adults",N/A,N/A,N/A,None to be assessed,Homeless or at risk of homelessness,,"Single assessment and referral point into the region's homeless-response and prevention programs, including FHPAP utility help",N/A - no direct funds,N/A,Vulnerability-based prioritisation across the CoC,None to be assessed,Call 1-866-560-7464,https://www.cmhp.net/homeless-responsive-system/,2026-08-10,Verified - CoC lead agency website + Minnesota Housing  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5.5/6),"THE MISSING LINK in earlier passes. Any client facing utility shutoff who is ALSO housing-unstable should be assessed here, not just sent to EAP. St. Cloud HRA accepts Emergency Housing Voucher referrals from this system.",1-866-560-7464,BEngelking@CMHP.net,,,Business hours - confirm by phone,"The CoC is divided into three regions; greater St. Cloud sits in the CENTRAL region (Benton, Sherburne, Stearns, Wright).",The front door to the regional homeless-response system. Assessment here can unlock FHPAP utility assistance and housing vouchers.,Referral capacity depends on what programs have openings; assessment itself is always available.,State funder + administrator website,https://www.mnhousing.gov/get/MHFA_199603,High,0,,Confirm current intake hours and whether the line handles prevention-only cases or requires literal homelessness.,2026-08-10,,,Reverify annually.
